t_s,Power_W,T_local_C,T_remote_C
539,1,38.3745931009641,33.9061577429363
540,1,38.3926068065059,33.9196261085914
541,1,38.4105987561974,33.93307820999
542,1,38.4285689763152,33.9465140667286
543,1,38.4465174931037,33.9599336983812
544,1,38.4644443327759,33.9733371244992
545,1,38.4823495215129,33.9867243646114
546,1,38.5002330854643,34.000095438224
547,1,38.518095050748,34.0134503648206
548,1,38.5359354434505,34.0267891638625
549,1,38.5537542896265,34.0401118547881
550,1,38.5715516152995,34.0534184570134
551,1,38.5893274464614,34.0667089899318
552,1,38.6070818090726,34.0799834729142
553,1,38.6248147290624,34.0932419253091
554,1,38.6425262323285,34.1064843664422
555,1,38.6602163447374,34.1197108156168
556,1,38.6778850921244,34.1329212921137
557,1,38.6955325002935,34.1461158151912
558,1,38.7131585950175,34.1592944040851
559,1,38.7307634020382,34.1724570780087
560,1,38.7483469470662,34.1856038561528
561,1,38.765909255781,34.1987347576858
562,1,38.783450353831,34.2118498017535
563,1,38.8009702668339,34.2249490074795
564,1,38.8184690203761,34.2380323939647
565,1,38.8359466400134,34.2510999802878
566,1,38.8534031512704,34.2641517855049
567,1,38.8708385796412,34.2771878286497
568,1,38.8882529505887,34.2902081287338
569,1,38.9056462895455,34.3032127047461
570,1,38.923018621913,34.3162015756533
571,1,38.9403699730622,34.3291747603997
572,1,38.9577003683335,34.3421322779072
573,1,38.9750098330365,34.3550741470757
574,1,38.9922983924502,34.3680003867823
575,1,39.0095660718232,34.3809110158822
576,1,39.0268128963736,34.3938060532082
577,1,39.0440388912889,34.4066855175708
578,1,39.0612440817263,34.4195494277584
579,1,39.0784284928125,34.4323978025369
580,1,39.095592149644,34.4452306606502
581,1,39.1127350772867,34.45804802082
582,1,39.1298573007764,34.4708499017457
583,1,39.1469588451188,34.4836363221047
584,1,39.1640397352892,34.4964073005522
585,1,39.1810999962326,34.5091628557211
586,1,39.1981396528643,34.5219030062225
587,1,39.2151587300689,34.534627770645
588,1,39.2321572527016,34.5473371675556
589,1,39.2491352455869,34.5600312154988
590,1,39.26609273352,34.5727099329974
591,1,39.2830297412655,34.5853733385519
592,1,39.2999462935585,34.5980214506411
593,1,39.3168424151042,34.6106542877215
594,1,39.3337181305777,34.6232718682279
595,1,39.3505734646244,34.635874210573
596,1,39.3674084418602,34.6484613331475
597,1,39.3842230868709,34.6610332543203
598,1,39.4010174242127,34.6735899924386
599,1,39.4177914784122,34.6861315658273
600,1,39.4345452739664,34.6986579927899
601,1,39.4512788353426,34.7111692916076
602,1,39.4679921869786,34.7236654805403
603,1,39.4846853532828,34.7361465778257
604,1,39.5013583586338,34.7486126016799
605,1,39.518011227381,34.7610635702973
606,1,39.5346439838444,34.7734995018504
607,1,39.5512566523146,34.7859204144902
608,1,39.5678492570527,34.7983263263458
609,1,39.5844218222906,34.8107172555247
610,1,39.600974372231,34.823093220113
